event_type,amount,ip_address,is_fraud,tx_count_1h,amount_avg_1h,amount_vs_avg,hour_of_day
WITHDRAW,3917864.04,172.16.205.223,0,3,1305954.680000,3.0,22
LOGOUT,0.00,172.16.205.223,0,4,979466.010000,0.0,22
LOGIN,0.00,172.16.102.226,0,1,0.000000,0.0,10
VIEW_BALANCE,0.00,172.16.102.226,0,2,0.000000,0.0,10
WITHDRAW,3396507.52,172.16.102.226,0,3,1132169.173333,3.0000000000008833,10
LOGOUT,0.00,172.16.102.226,0,4,849126.880000,0.0,10
LOGIN,0.00,172.16.144.173,0,1,0.000000,0.0,15
VIEW_BALANCE,0.00,172.16.144.173,0,2,0.000000,0.0,15
TRANSFER,4695514.31,172.16.144.173,0,3,1565171.436667,2.999999999999361,15
LOGOUT,0.00,172.16.144.173,0,4,1173878.577500,0.0,15
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,11
LOGIN_FAILED,0.00,10.0.0.88,1,2,0.000000,0.0,11
LOGIN_FAILED,0.00,10.0.0.88,1,3,0.000000,0.0,11
LOGIN_FAILED,0.00,10.0.0.88,1,4,0.000000,0.0,11
LOGIN_FAILED,0.00,10.0.0.88,1,5,0.000000,0.0,11
LOGIN_FAILED,0.00,10.0.0.88,1,6,0.000000,0.0,11
LOGIN_SUCCESS,0.00,10.0.0.88,1,7,0.000000,0.0,11
TRANSFER,99000.00,10.0.0.88,1,8,12375.000000,8.0,11
TRANSFER,50000.00,10.0.0.88,1,9,16555.555556,3.020134228106842,11
TRANSFER,99000.00,10.0.0.88,1,10,24800.000000,3.9919354838709675,11
TRANSFER,261161174.89,10.0.0.88,1,11,23764470.444545,10.989564253048528,11
TRANSFER,106325727.29,10.0.0.88,1,12,30644575.181667,3.469642723375358,11
TRANSFER,151830132.82,10.0.0.88,1,13,39966541.153846,3.7989310167109447,11
LOGOUT,0.00,10.0.0.88,1,14,37111788.214286,0.0,11
LOGIN,0.00,172.16.49.180,0,1,0.000000,0.0,14
VIEW_BALANCE,0.00,172.16.49.180,0,2,0.000000,0.0,14
TRANSFER,3213014.64,172.16.49.180,0,3,1071004.880000,3.0,14
LOGOUT,0.00,172.16.49.180,0,4,803253.660000,0.0,14
LOGIN,0.00,172.16.169.75,0,1,0.000000,0.0,16
VIEW_BALANCE,0.00,172.16.169.75,0,2,0.000000,0.0,16
TRANSFER,1188132.73,172.16.169.75,0,3,396044.243333,3.000000000002525,16
LOGOUT,0.00,172.16.169.75,0,4,297033.182500,0.0,16
LOGIN,0.00,172.16.85.222,0,5,237626.546000,0.0,17
VIEW_BALANCE,0.00,172.16.85.222,0,6,198022.121667,0.0,17
TRANSFER,11685003.36,172.16.85.222,0,7,1839019.441429,6.353931392329508,17
LOGOUT,0.00,172.16.85.222,0,8,1609142.011250,0.0,17
LOGIN,0.00,172.16.90.54,0,1,0.000000,0.0,18
VIEW_BALANCE,0.00,172.16.90.54,0,2,0.000000,0.0,18
WITHDRAW,1512141.02,172.16.90.54,0,3,504047.006667,2.9999999999980163,18
LOGOUT,0.00,172.16.90.54,0,4,378035.255000,0.0,18
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,21
LOGIN_SUCCESS,0.00,203.0.113.42,1,2,0.000000,0.0,21
TRANSFER,499999.00,203.0.113.42,1,3,166666.333333,3.000000000006,21
LOGOUT,0.00,203.0.113.42,1,4,124999.750000,0.0,21
LOGIN,0.00,172.16.121.166,0,1,0.000000,0.0,22
VIEW_BALANCE,0.00,172.16.121.166,0,2,0.000000,0.0,22
TRANSFER,2765489.24,172.16.121.166,0,3,921829.746667,2.999999999998915,22
LOGOUT,0.00,172.16.121.166,0,4,691372.310000,0.0,22
LOGIN,0.00,172.16.180.185,0,1,0.000000,0.0,16
VIEW_BALANCE,0.00,172.16.180.185,0,2,0.000000,0.0,16
TRANSFER,15186395.70,172.16.180.185,0,3,5062131.900000,3.0,16
LOGOUT,0.00,172.16.180.185,0,4,3796598.925000,0.0,16
LOGIN,0.00,172.16.23.195,0,1,0.000000,0.0,23
VIEW_BALANCE,0.00,172.16.23.195,0,2,0.000000,0.0,23
TRANSFER,9813933.27,172.16.23.195,0,3,3271311.090000,3.0,23
LOGOUT,0.00,172.16.23.195,0,4,2453483.317500,0.0,23
LOGIN,0.00,172.16.81.2,0,1,0.000000,0.0,1
VIEW_BALANCE,0.00,172.16.81.2,0,2,0.000000,0.0,1
WITHDRAW,2206967.35,172.16.81.2,0,3,735655.783333,3.0000000000013594,1
LOGOUT,0.00,172.16.81.2,0,4,551741.837500,0.0,1
LOGIN,0.00,172.16.96.223,0,1,0.000000,0.0,5
VIEW_BALANCE,0.00,172.16.96.223,0,2,0.000000,0.0,5
WITHDRAW,2251306.18,172.16.96.223,0,3,750435.393333,3.0000000000013327,5
LOGOUT,0.00,172.16.96.223,0,4,562826.545000,0.0,5
LOGIN,0.00,172.16.98.96,0,1,0.000000,0.0,21
VIEW_BALANCE,0.00,172.16.98.96,0,2,0.000000,0.0,21
WITHDRAW,4300594.62,172.16.98.96,0,3,1433531.540000,3.0,21
LOGOUT,0.00,172.16.98.96,0,4,1075148.655000,0.0,21
LOGIN,0.00,172.16.120.247,0,1,0.000000,0.0,9
VIEW_BALANCE,0.00,172.16.120.247,0,2,0.000000,0.0,9
TRANSFER,18637770.60,172.16.120.247,0,3,6212590.200000,3.0,9
LOGOUT,0.00,172.16.120.247,0,4,4659442.650000,0.0,9
LOGIN,0.00,172.16.34.206,0,1,0.000000,0.0,17
VIEW_BALANCE,0.00,172.16.34.206,0,2,0.000000,0.0,17
WITHDRAW,4735990.18,172.16.34.206,0,3,1578663.393333,3.0000000000006333,17
LOGOUT,0.00,172.16.34.206,0,4,1183997.545000,0.0,17
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,3,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,4,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,5,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,6,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,7,0.000000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,8,0.000000,0.0,12
LOGIN_SUCCESS,0.00,192.168.1.99,1,9,0.000000,0.0,12
TRANSFER,156598993.65,192.168.1.99,1,10,15659899.365000,10.0,12
TRANSFER,224364436.35,192.168.1.99,1,11,34633039.090909,6.478335203591606,12
LOGOUT,0.00,192.168.1.99,1,12,31746952.500000,0.0,12
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,14
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,14
LOGIN_FAILED,0.00,192.168.1.99,1,3,0.000000,0.0,14
LOGIN_FAILED,0.00,192.168.1.99,1,4,0.000000,0.0,14
LOGIN_SUCCESS,0.00,192.168.1.99,1,5,0.000000,0.0,14
TRANSFER,99000.00,192.168.1.99,1,6,16500.000000,6.0,14
TRANSFER,422108583.61,192.168.1.99,1,7,60315369.087143,6.998358627303466,14
TRANSFER,311541744.71,192.168.1.99,1,8,91718666.040000,3.3967103770799674,14
TRANSFER,99000.00,192.168.1.99,1,9,81538703.146667,0.0012141473457325,14
LOGOUT,0.00,192.168.1.99,1,10,73384832.832000,0.0,14
LOGIN_FAILED,0.00,10.0.0.88,1,11,66713484.392727,0.0,15
LOGIN_SUCCESS,0.00,10.0.0.88,1,12,61154027.360000,0.0,15
TRANSFER,317409306.05,10.0.0.88,1,13,80865971.874615,3.9251281928838027,15
LOGOUT,0.00,10.0.0.88,1,14,75089831.026429,0.0,15
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,16
LOGIN_FAILED,0.00,10.0.0.88,1,2,0.000000,0.0,16
LOGIN_FAILED,0.00,10.0.0.88,1,3,0.000000,0.0,16
LOGIN_FAILED,0.00,10.0.0.88,1,4,0.000000,0.0,16
LOGIN_FAILED,0.00,10.0.0.88,1,5,0.000000,0.0,16
LOGIN_SUCCESS,0.00,10.0.0.88,1,6,0.000000,0.0,16
TRANSFER,396625180.88,10.0.0.88,1,7,56660740.125714,7.0000000000000355,16
TRANSFER,150040724.47,10.0.0.88,1,8,68333238.168750,2.1957209769493446,16
TRANSFER,50000.00,10.0.0.88,1,9,60746211.705556,8.230965947697E-4,16
LOGOUT,0.00,10.0.0.88,1,10,54671590.535000,0.0,16
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,2
LOGIN_SUCCESS,0.00,10.0.0.88,1,2,0.000000,0.0,2
TRANSFER,99000.00,10.0.0.88,1,3,33000.000000,3.0,2
TRANSFER,266755148.74,10.0.0.88,1,4,66713537.185000,3.9985160433072906,2
TRANSFER,50000.00,10.0.0.88,1,5,53380829.748000,9.366658449492E-4,2
TRANSFER,50000.00,10.0.0.88,1,6,44492358.123333,0.0011237884910797,2
TRANSFER,380212196.55,10.0.0.88,1,7,92452335.041429,4.112521294130888,2
LOGOUT,0.00,10.0.0.88,1,8,80895793.161250,0.0,2
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,19
LOGIN_FAILED,0.00,203.0.113.42,1,2,0.000000,0.0,19
LOGIN_FAILED,0.00,203.0.113.42,1,3,0.000000,0.0,19
LOGIN_FAILED,0.00,203.0.113.42,1,4,0.000000,0.0,19
LOGIN_SUCCESS,0.00,203.0.113.42,1,5,0.000000,0.0,19
TRANSFER,50000.00,203.0.113.42,1,6,8333.333333,6.00000000024,19
TRANSFER,282216572.37,203.0.113.42,1,7,40323796.052857,6.998760037375115,19
TRANSFER,50000.00,203.0.113.42,1,8,35289571.546250,0.0014168491656089,19
LOGOUT,0.00,203.0.113.42,1,9,31368508.041111,0.0,19
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,23
LOGIN_FAILED,0.00,10.0.0.88,1,2,0.000000,0.0,23
LOGIN_SUCCESS,0.00,10.0.0.88,1,3,0.000000,0.0,23
TRANSFER,499999.00,10.0.0.88,1,4,124999.750000,4.0,23
TRANSFER,438901022.58,10.0.0.88,1,5,87880204.316000,4.994310447911545,23
TRANSFER,283280119.01,10.0.0.88,1,6,120446856.765000,2.3519096024456556,23
LOGOUT,0.00,10.0.0.88,1,7,103240162.941429,0.0,23
LOGIN_FAILED,0.00,203.0.113.42,1,8,90335142.573750,0.0,0
LOGIN_FAILED,0.00,203.0.113.42,1,9,80297904.510000,0.0,0
LOGIN_SUCCESS,0.00,203.0.113.42,1,10,72268114.059000,0.0,0
TRANSFER,299854200.77,203.0.113.42,1,11,92957758.305455,3.2257038706193044,0
TRANSFER,99000.00,203.0.113.42,1,12,85219528.446667,0.0011617055597997,0
LOGOUT,0.00,203.0.113.42,1,13,78664180.104615,0.0,0
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,2
LOGIN_SUCCESS,0.00,10.0.0.88,1,2,0.000000,0.0,2
TRANSFER,489696215.88,10.0.0.88,1,3,163232071.960000,3.0,2
TRANSFER,499999.00,10.0.0.88,1,4,122549053.720000,0.0040799907043134,2
TRANSFER,99000.00,10.0.0.88,1,5,98059042.976000,0.0010095958210017,2
LOGOUT,0.00,10.0.0.88,1,6,81715869.146667,0.0,2
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,3
LOGIN_FAILED,0.00,10.0.0.88,1,2,0.000000,0.0,3
LOGIN_FAILED,0.00,10.0.0.88,1,3,0.000000,0.0,3
LOGIN_SUCCESS,0.00,10.0.0.88,1,4,0.000000,0.0,3
TRANSFER,231705505.80,10.0.0.88,1,5,46341101.160000,5.0,3
TRANSFER,150279613.52,10.0.0.88,1,6,63664186.553333,2.3605047304595215,3
TRANSFER,499999.00,10.0.0.88,1,7,54640731.188571,0.0091506645157154,3
LOGOUT,0.00,10.0.0.88,1,8,47810639.790000,0.0,3
LOGIN_FAILED,0.00,10.0.0.88,1,9,42498346.480000,0.0,4
LOGIN_FAILED,0.00,10.0.0.88,1,10,38248511.832000,0.0,4
LOGIN_SUCCESS,0.00,10.0.0.88,1,11,34771374.392727,0.0,4
TRANSFER,369143349.92,10.0.0.88,1,12,62635705.686667,5.893497101583354,4
LOGOUT,0.00,10.0.0.88,1,13,57817574.480000,0.0,4
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,5
LOGIN_SUCCESS,0.00,192.168.1.99,1,2,0.000000,0.0,5
TRANSFER,349845796.25,192.168.1.99,1,3,116615265.416667,2.9999999999999916,5
TRANSFER,499999.00,192.168.1.99,1,4,87586448.812500,0.0057086342325668,5
TRANSFER,215958535.98,192.168.1.99,1,5,113260866.246000,1.9067356902510617,5
TRANSFER,341636670.28,192.168.1.99,1,6,151323500.251667,2.2576577313624258,5
LOGOUT,0.00,192.168.1.99,1,7,129705857.358571,0.0,5
LOGIN_FAILED,0.00,192.168.1.99,1,8,113492625.188750,0.0,6
LOGIN_SUCCESS,0.00,192.168.1.99,1,9,100882333.501111,0.0,6
TRANSFER,101045652.80,192.168.1.99,1,10,100898665.431000,1.0014567820929259,6
TRANSFER,50000.00,192.168.1.99,1,11,91730604.937273,5.450743515121E-4,6
TRANSFER,99000.00,192.168.1.99,1,12,84094637.859167,0.0011772450957669,6
TRANSFER,499999.00,192.168.1.99,1,13,77664281.023846,0.0064379531157506,6
TRANSFER,415861692.26,192.168.1.99,1,14,101821238.969286,4.084233274606324,6
TRANSFER,247471272.44,192.168.1.99,1,15,111531241.200667,2.2188515950858085,6
TRANSFER,257643350.44,192.168.1.99,1,16,120663248.028125,2.135226381275156,6
TRANSFER,394379528.34,192.168.1.99,1,17,136764205.693529,2.8836458073229614,6
LOGOUT,0.00,192.168.1.99,1,18,129166194.266111,0.0,6
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,3,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,4,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,5,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,6,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,7,0.000000,0.0,7
LOGIN_FAILED,0.00,192.168.1.99,1,8,0.000000,0.0,7
LOGIN_SUCCESS,0.00,192.168.1.99,1,9,0.000000,0.0,7
TRANSFER,499128373.22,192.168.1.99,1,10,49912837.322000,10.0,7
LOGOUT,0.00,192.168.1.99,1,11,45375306.656364,0.0,7
LOGIN_FAILED,0.00,10.0.0.88,1,1,0.000000,0.0,9
LOGIN_FAILED,0.00,10.0.0.88,1,2,0.000000,0.0,9
LOGIN_SUCCESS,0.00,10.0.0.88,1,3,0.000000,0.0,9
TRANSFER,99000.00,10.0.0.88,1,4,24750.000000,4.0,9
TRANSFER,311178098.51,10.0.0.88,1,5,62255419.702000,4.998409777004574,9
TRANSFER,499999.00,10.0.0.88,1,6,51962849.585000,0.0096222398115813,9
LOGOUT,0.00,10.0.0.88,1,7,44539585.358571,0.0,9
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,3,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,4,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,5,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,6,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,7,0.000000,0.0,11
LOGIN_FAILED,0.00,192.168.1.99,1,8,0.000000,0.0,11
LOGIN_SUCCESS,0.00,192.168.1.99,1,9,0.000000,0.0,11
TRANSFER,494710762.37,192.168.1.99,1,10,49471076.237000,10.0,11
TRANSFER,499999.00,192.168.1.99,1,11,45019160.124545,0.011106360016863,11
TRANSFER,50000.00,192.168.1.99,1,12,41271730.114167,0.001211483014201,11
TRANSFER,499999.00,192.168.1.99,1,13,38135443.105385,0.0131111364988807,11
TRANSFER,302245776.99,192.168.1.99,1,14,57000466.954286,5.302514051900647,11
TRANSFER,50000.00,192.168.1.99,1,15,53203769.157333,9.397830415387E-4,11
TRANSFER,50000.00,192.168.1.99,1,16,49881658.585000,0.0010023724434663,11
TRANSFER,149355918.43,192.168.1.99,1,17,55733085.634706,2.6798429824777794,11
TRANSFER,50000.00,192.168.1.99,1,18,52639580.877222,9.498555871222E-4,11
TRANSFER,499999.00,192.168.1.99,1,19,49895392.357368,0.0100209453493989,11
TRANSFER,328167070.92,192.168.1.99,1,20,63808976.285500,5.142960912766954,11
LOGOUT,0.00,192.168.1.99,1,21,60770453.605238,0.0,11
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,14
LOGIN_FAILED,0.00,203.0.113.42,1,2,0.000000,0.0,14
LOGIN_FAILED,0.00,203.0.113.42,1,3,0.000000,0.0,14
LOGIN_FAILED,0.00,203.0.113.42,1,4,0.000000,0.0,14
LOGIN_SUCCESS,0.00,203.0.113.42,1,5,0.000000,0.0,14
TRANSFER,499999.00,203.0.113.42,1,6,83333.166667,5.999999999976,14
LOGOUT,0.00,203.0.113.42,1,7,71428.428571,0.0,14
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,15
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,15
LOGIN_SUCCESS,0.00,192.168.1.99,1,3,0.000000,0.0,15
TRANSFER,50000.00,192.168.1.99,1,4,12500.000000,4.0,15
LOGOUT,0.00,192.168.1.99,1,5,10000.000000,0.0,15
LOGIN_FAILED,0.00,192.168.1.99,1,1,0.000000,0.0,0
LOGIN_FAILED,0.00,192.168.1.99,1,2,0.000000,0.0,0
LOGIN_FAILED,0.00,192.168.1.99,1,3,0.000000,0.0,0
LOGIN_FAILED,0.00,192.168.1.99,1,4,0.000000,0.0,0
LOGIN_SUCCESS,0.00,192.168.1.99,1,5,0.000000,0.0,0
TRANSFER,209813237.67,192.168.1.99,1,6,34968872.945000,6.0,0
TRANSFER,99000.00,192.168.1.99,1,7,29987462.524286,0.0033013796989266,0
LOGOUT,0.00,192.168.1.99,1,8,26239029.708750,0.0,0
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,2,0.000000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,3,0.000000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,4,0.000000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,5,0.000000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,6,0.000000,0.0,1
LOGIN_SUCCESS,0.00,203.0.113.42,1,7,0.000000,0.0,1
TRANSFER,50000.00,203.0.113.42,1,8,6250.000000,8.0,1
TRANSFER,499999.00,203.0.113.42,1,9,61111.000000,8.181816694212172,1
TRANSFER,99000.00,203.0.113.42,1,10,64899.900000,1.5254260792389511,1
TRANSFER,99000.00,203.0.113.42,1,11,67999.909091,1.4558842993086143,1
TRANSFER,302664246.84,203.0.113.42,1,12,25284353.820000,11.970416526942905,1
TRANSFER,254412451.92,203.0.113.42,1,13,42909592.135385,5.929034494601992,1
TRANSFER,499999.00,203.0.113.42,1,14,39880335.482857,0.0125374822941229,1
TRANSFER,269972861.59,203.0.113.42,1,15,55219837.223333,4.889055730065131,1
TRANSFER,191627065.94,203.0.113.42,1,16,63745289.018125,3.006136906611464,1
TRANSFER,50000.00,203.0.113.42,1,17,59998507.311176,8.333540656383E-4,1
TRANSFER,50000.00,203.0.113.42,1,18,56668034.682778,8.823316404018E-4,1
TRANSFER,473766055.67,203.0.113.42,1,19,78620562.103158,6.025981537099312,1
LOGOUT,0.00,203.0.113.42,1,20,74689533.998000,0.0,1
LOGIN_FAILED,0.00,203.0.113.42,1,1,0.000000,0.0,3
LOGIN_FAILED,0.00,203.0.113.42,1,2,0.000000,0.0,3
LOGIN_FAILED,0.00,203.0.113.42,1,3,0.000000,0.0,3
LOGIN_FAILED,0.00,203.0.113.42,1,4,0.000000,0.0,3
LOGIN_SUCCESS,0.00,203.0.113.42,1,5,0.000000,0.0,3
TRANSFER,499999.00,203.0.113.42,1,6,83333.166667,5.999999999976,3
TRANSFER,99000.00,203.0.113.42,1,7,85571.285714,1.1569301451293137,3
TRANSFER,101946708.09,203.0.113.42,1,8,12818213.386250,7.95326969664567,3
TRANSFER,341947900.01,203.0.113.42,1,9,49388178.566667,6.92367910568759,3
TRANSFER,499999.00,203.0.113.42,1,10,44499360.610000,0.0112360940280036,3
TRANSFER,499999.00,203.0.113.42,1,11,40499418.645455,0.0123458315384019,3
TRANSFER,99000.00,203.0.113.42,1,12,37132717.091667,0.0026661124677627,3
TRANSFER,99000.00,203.0.113.42,1,13,34283969.623077,0.0028876469407837,3
TRANSFER,50000.00,203.0.113.42,1,14,31838686.078571,0.0015704165641952,3
TRANSFER,499999.00,203.0.113.42,1,15,29749440.273333,0.0168070052883715,3
LOGOUT,0.00,203.0.113.42,1,16,27890100.256250,0.0,3
LOGIN,0.00,172.16.0.152,0,1,0.000000,0.0,13
VIEW_BALANCE,0.00,172.16.0.152,0,2,0.000000,0.0,13
WITHDRAW,874305.34,172.16.0.152,0,3,291435.113333,3.0000000000034315,13
LOGOUT,0.00,172.16.0.152,0,4,218576.335000,0.0,13
LOGIN,0.00,172.16.133.31,0,1,0.000000,0.0,16
VIEW_BALANCE,0.00,172.16.133.31,0,2,0.000000,0.0,16
TRANSFER,7672309.54,172.16.133.31,0,3,2557436.513333,3.000000000000391,16
LOGOUT,0.00,172.16.133.31,0,4,1918077.385000,0.0,16
LOGIN,0.00,172.16.202.94,0,1,0.000000,0.0,6
VIEW_BALANCE,0.00,172.16.202.94,0,2,0.000000,0.0,6
WITHDRAW,3934944.73,172.16.202.94,0,3,1311648.243333,3.0000000000007625,6
LOGOUT,0.00,172.16.202.94,0,4,983736.182500,0.0,6
LOGIN,0.00,172.16.64.93,0,1,0.000000,0.0,11
VIEW_BALANCE,0.00,172.16.64.93,0,2,0.000000,0.0,11
TRANSFER,3966014.90,172.16.64.93,0,3,1322004.966667,2.9999999999992437,11
LOGOUT,0.00,172.16.64.93,0,4,991503.725000,0.0,11
LOGIN,0.00,172.16.7.45,0,1,0.000000,0.0,13
VIEW_BALANCE,0.00,172.16.7.45,0,2,0.000000,0.0,13
WITHDRAW,248730.97,172.16.7.45,0,3,82910.323333,3.000000000012061,13
LOGOUT,0.00,172.16.7.45,0,4,62182.742500,0.0,13
LOGIN,0.00,172.16.64.168,0,1,0.000000,0.0,22
VIEW_BALANCE,0.00,172.16.64.168,0,2,0.000000,0.0,22
TRANSFER,5885970.29,172.16.64.168,0,3,1961990.096667,2.99999999999949,22
LOGOUT,0.00,172.16.64.168,0,4,1471492.572500,0.0,22
LOGIN,0.00,172.16.131.199,0,1,0.000000,0.0,16
